id,rumour,text,reply_to
552785374507175936,charliehebdo,MT France : 10 dead after shooting at HQ of satirical weekly #CharlieHebdo . If Zionists / Jews did this they'd be nuking Israel,"France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58"
552786226546495488,charliehebdo,They who ? Stupid and partial opinions like this one only add noise to any debate .,MT France : 10 dead after shooting at HQ of satirical weekly #CharlieHebdo . If Zionists / Jews did this they'd be nuking Israel
552789345628069888,charliehebdo,"Socialists , Antisemites , anti zionists - usual suspects",They who ? Stupid and partial opinions like this one only add noise to any debate .
552792862610694144,charliehebdo,A French crime of passion or another heathen moslem atrocity ?,"France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58"
552943855021330432,charliehebdo,"LOL . 5 million Muslims in France , what a disgrace . the french worm president and politicians killed them . tine for croissants now","France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58"
552785851655393281,charliehebdo,How dreadful .,BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ
552785877748158464,charliehebdo,"Nowhere is safe anymore ? """,BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ
552788073340489728,charliehebdo,why does one feel that this may have something to so with freedom of speech - http://t.co/Uhe5VimATk,BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ
552791516360765440,charliehebdo,11 Killed now,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552791567401238529,charliehebdo,11 died,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552791830476386306,charliehebdo,How could this happen ? France has pretty restrictive gun laws .,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552792023078825984,charliehebdo,oh my gosh,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
